sigma_ratio,count_ratio,hg_c08,hg_block4,speedup
0.7,4.0,53.29833333333334,77.43466666666667,1.4528534350667626
0.5,8.0,23.866333333333333,33.32366666666667,1.396262517632928
0.5,4.0,30.246333333333336,42.10733333333334,1.3921467064878388
0.1,1.0,110.709,152.98533333333333,1.3818689838525624
0.7,8.0,45.06733333333333,62.05733333333333,1.3769914646233044
0.1,4.0,48.75266666666666,66.03566666666667,1.3545036852684984
0.1,2.0,75.69966666666666,102.02466666666668,1.347755824552288
0.4,0.5,57.473000000000006,77.37166666666667,1.3462263439644122
0.5,2.0,39.797666666666665,53.223000000000006,1.3373397100332518
0.4,1.0,47.50733333333333,63.348333333333336,1.3334432578829938
0.4,2.0,37.00133333333333,49.02866666666667,1.3250513495009193
0.1,0.5,142.47833333333332,187.92066666666668,1.3189420613660559
0.5,16.0,20.778666666666666,27.367,1.3170719969199178
0.4,4.0,27.146666666666665,35.71066666666667,1.3154715127701377
0.7,2.0,72.11366666666667,93.42733333333332,1.29555655192497
0.5,1.0,50.416333333333334,65.289,1.2949969917156476
0.5,0.5,60.369,77.262,1.279829051334294
0.7,16.0,39.758,50.87800000000001,1.2796921374314605
0.48,0.5,57.84033333333334,73.03966666666666,1.262780873784729
0.2,1.0,74.748,91.46999999999998,1.2237116712152831
0.2,0.5,94.51666666666667,114.25133333333333,1.2087956268735673
0.2,2.0,51.72733333333334,62.27866666666667,1.203979843023031
0.3,16.0,13.070333333333332,15.479333333333335,1.1843105251077506
0.3,8.0,18.576333333333334,21.536999999999995,1.1593784205709772
0.4,8.0,23.120333333333335,26.605666666666664,1.1507475382419514
0.7,1.0,90.32566666666666,102.31966666666666,1.1327861774246524
0.48,1.0,54.69466666666667,61.074666666666666,1.1166475707564418
0.6,4.0,47.966,52.138666666666666,1.0869921750128564
0.6,8.0,40.69833333333333,44.202999999999996,1.0861132724517792
0.4,16.0,19.01,20.55333333333333,1.0811853410485708
0.6,16.0,35.38966666666666,38.04566666666667,1.0750501558835444
0.7,0.5,103.70933333333335,109.62433333333333,1.0570344038466482
0.3,4.0,28.467333333333332,30.08966666666667,1.0569892976745277
0.2,4.0,32.80566666666667,34.632666666666665,1.055691597996281
0.2,8.0,20.882333333333335,21.790666666666667,1.0434976934250642
0.6,2.0,59.92666666666667,61.36333333333334,1.0239737456891758
0.1,8.0,30.328999999999997,30.876,1.018035543539187
0.3,0.5,78.99866666666667,79.49366666666667,1.0062659285388784
0.3,2.0,43.76166666666666,43.11566666666667,0.985238222188369
0.3,1.0,61.80766666666667,60.5,0.9788429698581081
0.2,16.0,13.680333333333332,13.275333333333334,0.9703954582003365
0.1,16.0,20.317666666666668,19.058666666666667,0.9380342230899217
0.6,1.0,74.20133333333332,69.50333333333333,0.9366857738405421
0.9,1.0,53.461999999999996,50.00666666666666,0.9353684236778771
0.8,0.5,46.60233333333334,43.425333333333334,0.9318274478388062
0.9,2.0,56.800666666666665,52.657333333333334,0.9270548467740989
0.8,16.0,47.12833333333333,43.613,0.9254093432825264
0.8,2.0,46.67966666666666,43.196,0.9253707895657639
0.9,16.0,57.35166666666667,53.05666666666667,0.9251111563162943
0.9,0.5,56.86000000000001,52.529666666666664,0.9238421854848163
0.8,4.0,46.95666666666667,43.37866666666667,0.9238020870305955
0.9,4.0,57.00333333333333,52.574333333333335,0.9223027893105668
0.9,8.0,57.33566666666667,52.841,0.9216078415413326
0.8,8.0,47.36566666666667,43.644,0.9214269126019549
0.8,1.0,44.93566666666666,40.92733333333333,0.9107984006765227
0.6,0.5,92.25933333333334,77.48033333333333,0.839810245033926
0.48,2.0,57.992333333333335,48.55566666666667,0.8372773412577524
0.48,4.0,58.032000000000004,37.19433333333333,0.6409279937505743
0.48,8.0,58.565666666666665,29.205000000000002,0.49867100747309295
0.48,16.0,58.443666666666665,23.953333333333333,0.40985336306756937
