sigma_ratio,count_ratio,0.5,1.0,abs_diff_s,speedup_1_over_0p5,speedup_0p5_over_1,faster_csf
0.1,0.5,162.37833333333333,142.47833333333332,19.900000000000006,1.1396703592359072,0.8774467036858365,1.0
0.1,1.0,156.96966666666665,110.709,46.26066666666665,1.4178582289304993,0.7052891322951994,1.0
0.1,2.0,144.96633333333332,75.69966666666666,69.26666666666667,1.9150194408605938,0.5221879102964136,1.0
0.1,4.0,128.05233333333334,48.75266666666666,79.29966666666667,2.626570854243871,0.3807245475157292,1.0
0.1,8.0,112.29733333333333,30.328999999999997,81.96833333333333,3.7026388385153925,0.2700776509979459,1.0
0.1,16.0,102.20566666666666,20.317666666666668,81.88799999999999,5.030384066411825,0.19879197826604528,1.0
0.2,0.5,94.51666666666667,98.48433333333332,3.967666666666659,0.9597127123434185,1.0419784870393227,0.5
0.2,1.0,79.39066666666666,74.748,4.642666666666656,1.0621109148962735,0.9415212535478563,1.0
0.2,2.0,56.236333333333334,51.72733333333334,4.508999999999993,1.0871686149166784,0.919820519355814,1.0
0.2,4.0,40.23500000000001,32.80566666666667,7.429333333333339,1.2264649400002035,0.8153514767408143,1.0
0.2,8.0,30.802999999999997,20.882333333333335,9.920666666666662,1.4750746244832151,0.6779318031793441,1.0
0.2,16.0,24.98,13.680333333333332,11.299666666666669,1.825978899149631,0.5476514544969308,1.0
0.3,0.5,78.99866666666667,82.75233333333334,3.7536666666666747,0.9546397483253241,1.047515569883036,0.5
0.3,1.0,64.136,61.80766666666667,2.328333333333326,1.0376706233854482,0.9636969356783502,1.0
0.3,2.0,48.925000000000004,43.76166666666666,5.163333333333341,1.1179875842632443,0.894464316130131,1.0
0.3,4.0,35.21266666666667,28.467333333333332,6.745333333333338,1.2369499543336224,0.8084401446449193,1.0
0.3,8.0,27.688,18.576333333333334,9.111666666666665,1.490498663173572,0.670916401810652,1.0
0.3,16.0,22.514333333333337,13.070333333333332,9.444000000000004,1.7225523450052285,0.5805338821195385,1.0
0.4,0.5,57.473000000000006,87.38400000000001,29.91100000000001,0.6577062162409594,1.5204356828423782,0.5
0.4,1.0,47.50733333333333,71.69133333333333,24.184000000000005,0.6626649432288421,1.5090582506560393,0.5
0.4,2.0,37.00133333333333,56.10766666666667,19.10633333333334,0.6594701852985033,1.5163687795034415,0.5
0.4,4.0,27.146666666666665,42.80833333333334,15.661666666666672,0.6341444422814871,1.576927799607073,0.5
0.4,8.0,23.120333333333335,32.443333333333335,9.323,0.7126374190896948,1.4032381309381352,0.5
0.4,16.0,19.01,26.90833333333333,7.89833333333333,0.7064725921337877,1.4154830790811852,0.5
0.48,0.5,57.84033333333334,113.42166666666667,55.581333333333326,0.5099584147649626,1.9609442084819702,0.5
0.48,1.0,54.69466666666667,110.33766666666666,55.642999999999994,0.4957025856990511,2.017338680188196,0.5
0.48,2.0,57.992333333333335,113.33833333333332,55.34599999999999,0.5116744849491934,1.9543675313403495,0.5
0.48,4.0,58.032000000000004,112.93233333333335,54.90033333333334,0.5138652349341936,1.946035520632295,0.5
0.48,8.0,58.565666666666665,111.99133333333333,53.425666666666665,0.5229482043253347,1.912235268672772,0.5
0.48,16.0,58.443666666666665,113.04466666666667,54.601000000000006,0.5169962315780783,1.934250075571348,0.5
0.5,0.5,60.369,137.74566666666666,77.37666666666667,0.4382642406173697,2.2817284809532485,0.5
0.5,1.0,50.416333333333334,112.77366666666667,62.35733333333334,0.4470576759941003,2.2368478469279136,0.5
0.5,2.0,39.797666666666665,87.56200000000001,47.76433333333335,0.45450842450682555,2.2001792399889446,0.5
0.5,4.0,30.246333333333336,66.69466666666666,36.44833333333332,0.4535045280981988,2.205049647891204,0.5
0.5,8.0,23.866333333333333,52.58566666666667,28.719333333333335,0.45385624726636536,2.203340828782525,0.5
0.5,16.0,20.778666666666666,44.49699999999999,23.718333333333327,0.4669678105640081,2.1414752310061598,0.5
0.6,0.5,92.25933333333334,288.5973333333333,196.33799999999997,0.31968186354228273,3.1281098931273434,0.5
0.6,1.0,74.20133333333332,231.77433333333332,157.57299999999998,0.3201447384884435,3.12358717722952,0.5
