sigma_ratio,count_ratio,hg_c08,hg_block8,speedup
0.7,4.0,53.29833333333334,81.628,1.5315300666062102
0.7,8.0,45.06733333333333,68.13033333333334,1.5117453883818288
0.7,2.0,72.11366666666667,103.91466666666668,1.4409843718943705
0.5,8.0,23.866333333333333,34.11066666666667,1.4292378385172977
0.5,4.0,30.246333333333336,42.772,1.4141218219288287
0.7,16.0,39.758,55.26266666666667,1.3899760215973305
0.1,4.0,48.75266666666666,66.586,1.3657919566792929
0.1,1.0,110.709,149.77066666666667,1.3528318986411825
0.5,2.0,39.797666666666665,53.78066666666667,1.3513522568324778
0.5,16.0,20.778666666666666,27.955000000000002,1.3453702515400412
0.4,0.5,57.473000000000006,77.099,1.3414820872409652
0.1,2.0,75.69966666666666,101.41199999999999,1.3396624379675826
0.4,1.0,47.50733333333333,63.184666666666665,1.3299981757202397
0.4,2.0,37.00133333333333,48.72666666666667,1.3168894814601277
0.5,1.0,50.416333333333334,66.33800000000001,1.3158037408511793
0.4,4.0,27.146666666666665,35.62966666666667,1.3124877210216113
0.1,0.5,142.47833333333332,186.73933333333332,1.310650742218115
0.5,0.5,60.369,77.51133333333333,1.2839592064359742
0.48,0.5,57.84033333333334,73.11533333333334,1.2640890727923422
0.7,1.0,90.32566666666666,112.61666666666667,1.2467847824723133
0.3,16.0,13.070333333333332,15.467999999999998,1.1834434214888678
0.4,8.0,23.120333333333335,26.348333333333333,1.1396173642248524
0.2,1.0,74.748,84.63766666666668,1.1323067729794332
0.3,8.0,18.576333333333334,21.008,1.1309013260600405
0.2,0.5,94.51666666666667,106.71433333333334,1.12905307705872
0.48,1.0,54.69466666666667,61.053,1.1162514321932668
0.7,0.5,103.70933333333335,114.91766666666666,1.1080744902419581
0.6,4.0,47.966,52.19433333333333,1.0881527192872729
0.6,8.0,40.69833333333333,43.812333333333335,1.076514189770261
0.4,16.0,19.01,20.332666666666668,1.0695774153954059
0.6,16.0,35.38966666666666,37.71966666666666,1.0658384274128982
0.3,4.0,28.467333333333332,29.523,1.0370834406688367
0.1,8.0,30.328999999999997,31.169666666666668,1.0277182454636378
0.6,2.0,59.92666666666667,61.001,1.0179274669039937
0.3,0.5,78.99866666666667,79.139,1.0017764012894732
0.2,2.0,51.72733333333334,51.572333333333326,0.9970035184493043
0.9,2.0,56.800666666666665,55.986333333333334,0.9856633138108708
0.3,2.0,43.76166666666666,42.891999999999996,0.980127204174125
0.9,1.0,53.461999999999996,52.239666666666665,0.9771364084146996
0.9,16.0,57.35166666666667,56.01499999999999,0.9766934991717764
0.3,1.0,61.80766666666667,60.25533333333334,0.9748844533849631
0.9,0.5,56.86000000000001,55.090666666666664,0.9688826357134481
0.9,4.0,57.00333333333333,54.967999999999996,0.9642944857025905
0.9,8.0,57.33566666666667,55.17133333333334,0.9622515362746865
0.1,16.0,20.317666666666668,19.104,0.940265450429019
0.8,16.0,47.12833333333333,43.937000000000005,0.9322841885631433
0.8,0.5,46.60233333333334,43.393,0.9311336342243234
0.6,1.0,74.20133333333332,69.07833333333333,0.9309581139602164
0.8,2.0,46.67966666666666,43.41433333333333,0.9300480580409743
0.8,4.0,46.95666666666667,43.63133333333334,0.9291829346205722
0.8,8.0,47.36566666666667,43.867,0.9261349641442113
0.8,1.0,44.93566666666666,41.32333333333333,0.9196109994288131
0.2,8.0,20.882333333333335,18.207666666666668,0.8719172506265264
0.2,4.0,32.80566666666667,27.859666666666666,0.8492333641545667
0.6,0.5,92.25933333333334,77.49633333333334,0.8399836692222648
0.48,2.0,57.992333333333335,48.63833333333333,0.8387028170390338
0.2,16.0,13.680333333333332,11.448,0.8368217148704955
0.48,4.0,58.032000000000004,37.26,0.6420595533498759
0.48,8.0,58.565666666666665,29.235666666666663,0.49919463622031107
0.48,16.0,58.443666666666665,23.96466666666667,0.41004728199804946
