sigma_ratio,count_ratio,hg_c08,lc_c08,speedup
0.3,16.0,13.070333333333332,58.56433333333333,4.4807069444798655
0.2,16.0,13.680333333333332,58.544666666666664,4.279476620940036
0.3,8.0,18.576333333333334,58.45766666666666,3.146889411258052
0.4,16.0,19.01,58.542,3.0795370857443447
0.5,16.0,20.778666666666666,62.40033333333333,3.0030961242299794
0.1,16.0,20.317666666666668,58.461333333333336,2.877364526766525
0.2,8.0,20.882333333333335,58.458333333333336,2.799415774099318
0.5,8.0,23.866333333333333,62.072,2.600818447185017
0.4,8.0,23.120333333333335,58.46,2.5285102579259235
0.4,4.0,27.146666666666665,58.18800000000001,2.1434675834970536
0.3,4.0,28.467333333333332,58.172333333333334,2.0434767335659587
0.5,4.0,30.246333333333336,61.687666666666665,2.0395089211915494
0.1,8.0,30.328999999999997,58.34166666666667,1.9236264521305244
0.2,4.0,32.80566666666667,58.208333333333336,1.7743377668492233
0.6,16.0,35.38966666666666,59.42633333333333,1.6792001431679682
0.4,2.0,37.00133333333333,57.95966666666667,1.5664210298727976
0.5,2.0,39.797666666666665,61.169333333333334,1.537008032296701
0.7,16.0,39.758,59.40766666666667,1.49423176886832
0.6,8.0,40.69833333333333,59.34366666666667,1.4581350587657154
0.3,2.0,43.76166666666666,58.09166666666667,1.3274555356666795
0.7,8.0,45.06733333333333,59.37233333333333,1.3174139435807162
0.8,2.0,46.67966666666666,59.15533333333334,1.2672612629338973
0.8,16.0,47.12833333333333,59.56433333333333,1.2638752342893518
0.8,0.5,46.60233333333334,58.87833333333333,1.2634202865378699
0.8,4.0,46.95666666666667,59.11866666666666,1.2590047561581599
0.8,8.0,47.36566666666667,59.351,1.253038417419087
0.8,1.0,44.93566666666666,55.601,1.2373467253184183
0.6,4.0,47.966,58.994,1.2299128549389151
0.1,4.0,48.75266666666666,58.07366666666667,1.1911895417686555
0.5,1.0,50.416333333333334,58.865,1.167577967457636
0.4,1.0,47.50733333333333,54.572333333333326,1.148713882768976
0.2,2.0,51.72733333333334,57.92966666666666,1.1199043703522313
0.7,4.0,53.29833333333334,58.922666666666665,1.1055255011101033
0.9,1.0,53.461999999999996,55.43866666666667,1.0369733019091443
0.9,2.0,56.800666666666665,58.885333333333335,1.0367014471661131
0.9,16.0,57.35166666666667,59.405,1.035802505012932
0.9,4.0,57.00333333333333,59.010333333333335,1.0352084673410913
0.9,0.5,56.86000000000001,58.85,1.0349982412944072
0.9,8.0,57.33566666666667,59.288999999999994,1.034068380937985
0.5,0.5,60.369,61.385,1.016829829879574
0.4,0.5,57.473000000000006,57.91233333333333,1.0076441691460916
0.48,0.5,57.84033333333334,57.907000000000004,1.0011525982445928
0.48,16.0,58.443666666666665,58.48233333333334,1.0006616057628144
0.48,4.0,58.032000000000004,58.04633333333334,1.000246990166345
0.48,2.0,57.992333333333335,57.79533333333333,0.9966029992470269
0.48,8.0,58.565666666666665,58.35033333333333,0.9963232155358372
0.48,1.0,54.69466666666667,54.468333333333334,0.99586187562468
0.6,2.0,59.92666666666667,59.038000000000004,0.985170764267438
0.3,1.0,61.80766666666667,54.77433333333334,0.8862061340826112
0.7,2.0,72.11366666666667,58.75266666666666,0.8147230529580615
0.1,2.0,75.69966666666666,57.83866666666666,0.7640544432163946
0.6,1.0,74.20133333333332,56.38566666666666,0.7599009900990099
0.2,1.0,74.748,54.88766666666667,0.73430281300726
0.3,0.5,78.99866666666667,57.907333333333334,0.7330165909973164
0.6,0.5,92.25933333333334,59.044999999999995,0.6399894500285426
0.7,1.0,90.32566666666666,55.927666666666674,0.6191780114179434
0.2,0.5,94.51666666666667,57.92433333333333,0.6128478222535708
0.7,0.5,103.70933333333335,58.87566666666667,0.5676988249209328
0.1,1.0,110.709,54.66466666666667,0.4937689498294327
0.1,0.5,142.47833333333332,57.885333333333335,0.40627463824909055
